#TITLE TOP 'Cross sections of eeh'
#SET FONT DUPLEX
#SET LIMIT X FROM 0.0 TO 1000.0
#SET LIMIT Y FROM 0.1 TO 1.E8
#SET SCALE Y LOG
#SET SCALE X 11 -2
#SET ORDER X Y
201 0.236119 ; 202 0.245408 ; 203 0.234609 ; 204 0.265242
205 0.256904 ; 206 0.290865 ; 207 0.314865 ; 208 0.345468
209 0.354749 ; 210 0.366292 ; 211 0.403856 ; 212 0.448408
213 0.543901 ; 214 0.652243 ; 215 0.897975 ; 216 1.38935
217 2.24164 ; 218 3.09091 ; 219 3.80558 ; 220 4.39797
221 4.91636 ; 222 5.37096 ; 223 5.79898 ; 224 6.07591
225 6.38177 ; 226 6.67933 ; 227 6.90147 ; 228 7.12925
229 7.34809 ; 230 7.47396 ; 231 7.6656 ; 232 7.77528
233 7.89624 ; 234 8.00216 ; 235 8.09203 ; 236 8.1964
237 8.30896 ; 238 8.35552 ; 239 8.40063 ; 240 8.51824
241 8.52728 ; 242 8.57126 ; 243 8.60317 ; 244 8.68151
245 8.73286 ; 246 8.73097 ; 247 8.79577 ; 248 8.75161
249 8.85909 ; 250 8.8422 ; 250 8.8422 ; 251 8.81
252 8.80796 ; 253 8.83827 ; 254 8.84643 ; 255 8.8713
256 8.85971 ; 257 8.81039 ; 258 8.85167 ; 259 8.88001
260 8.82816 ; 261 8.807 ; 262 8.81062 ; 263 8.88643
264 8.77429 ; 265 8.83672 ; 266 8.74326 ; 267 8.75757
268 8.70881 ; 269 8.65463 ; 270 8.67123 ; 271 8.67324
272 8.66908 ; 273 8.706 ; 274 8.68174 ; 275 8.60992
276 8.5557 ; 277 8.59252 ; 278 8.54951 ; 279 8.53905
280 8.51514 ; 281 8.51824 ; 282 8.47151 ; 283 8.455
284 8.43088 ; 285 8.43156 ; 286 8.40994 ; 287 8.37275
288 8.34984 ; 289 8.32486 ; 290 8.40186 ; 291 8.31758
292 8.30756 ; 293 8.23299 ; 294 8.21152 ; 295 8.21518
296 8.20654 ; 297 8.21058 ; 298 8.14139 ; 299 8.163
300 8.13839 ; 300 8.13839 ; 310 7.97267 ; 320 7.86083
330 7.78891 ; 340 7.66363 ; 350 7.69173 ; 360 7.6934
370 7.70347 ; 380 7.73749 ; 390 7.85679 ; 400 7.84842
410 7.96302 ; 420 8.1318 ; 430 8.24779 ; 440 8.49883
450 8.57394 ; 460 8.80443 ; 470 8.93437 ; 480 9.1256
490 9.27656 ; 500 9.59527 ; 500 9.59527 ; 550 10.6716
600 11.8325 ; 650 13.1574 ; 700 14.4056 ; 750 15.6529
800 17.1825 ; 850 18.1828 ; 900 19.4249 ; 950 20.7077
1000 22.0826 ; 1050 22.9147 ; 1100 24.2792 ; 
 
#JOIN
