#TITLE TOP 'Cross sections of nnh'
#SET FONT DUPLEX
#SET LIMIT X FROM 0.0 TO 1000.0
#SET LIMIT Y FROM 0.1 TO 1.E8
#SET SCALE Y LOG
#SET SCALE X 11 -2
#SET ORDER X Y
201 2.95329 ; 202 3.10775 ; 203 3.28228 ; 204 3.44502
205 3.61506 ; 206 3.82509 ; 207 4.01764 ; 208 4.25539
209 4.50383 ; 210 4.78337 ; 211 5.08701 ; 212 5.46444
213 5.91756 ; 214 6.53364 ; 215 7.41604 ; 216 8.87433
217 10.8655 ; 218 12.6877 ; 219 14.0218 ; 220 15.2211
221 16.165 ; 222 16.8838 ; 223 17.6173 ; 224 18.2222
225 18.7734 ; 226 19.1671 ; 227 19.6189 ; 228 19.9512
229 20.4029 ; 230 20.5874 ; 231 20.8976 ; 232 21.132
233 21.3225 ; 234 21.5058 ; 235 21.7746 ; 236 21.9602
237 22.0793 ; 238 22.2198 ; 239 22.4219 ; 240 22.4077
241 22.6685 ; 242 22.6911 ; 243 22.8343 ; 244 22.8754
245 23.0013 ; 246 23.1401 ; 247 23.2028 ; 248 23.2033
249 23.4225 ; 250 23.3787 ; 250 23.3787 ; 251 23.4238
252 23.5338 ; 253 23.6592 ; 254 23.6657 ; 255 23.7375
256 23.7192 ; 257 23.8519 ; 258 23.9305 ; 259 24.1117
260 24.0527 ; 261 24.2631 ; 262 24.2363 ; 263 24.3125
264 24.3114 ; 265 24.567 ; 266 24.6352 ; 267 24.5697
268 24.6854 ; 269 24.8221 ; 270 24.8894 ; 271 24.9831
272 25.12 ; 273 25.1111 ; 274 25.1771 ; 275 25.2659
276 25.4549 ; 277 25.5304 ; 278 25.662 ; 279 25.7574
280 25.7542 ; 281 25.9496 ; 282 25.8729 ; 283 26.1289
284 26.2735 ; 285 26.3069 ; 286 26.4804 ; 287 26.4875
288 26.6354 ; 289 26.8518 ; 290 26.9324 ; 291 26.9723
292 27.0979 ; 293 27.3825 ; 294 27.4643 ; 295 27.5641
296 27.6833 ; 297 27.7881 ; 298 28.0875 ; 299 28.0534
300 28.3194 ; 300 28.3194 ; 310 29.7224 ; 320 31.4218
330 33.2278 ; 340 35.3042 ; 350 37.4734 ; 360 39.7766
370 41.9745 ; 380 44.442 ; 390 47.1917 ; 400 49.571
410 52.1642 ; 420 54.9473 ; 430 57.5586 ; 440 60.8069
450 62.8812 ; 460 66.2634 ; 470 68.674 ; 480 71.5689
490 74.6413 ; 500 78.2214 ; 500 78.2214 ; 550 92.3416
600 106.672 ; 650 120.612 ; 700 135.708 ; 750 149.439
800 162.965 ; 850 174.83 ; 900 188.446 ; 950 199.687
1000 212.788 ; 1050 221.915 ; 1100 234.075 ; 
 
#JOIN
