#TITLE TOP 'Cross sections of tt'
#SET FONT DUPLEX
#SET LIMIT X FROM 0.0 TO 1000.0
#SET LIMIT Y FROM 0.1 TO 1.E8
#SET SCALE Y LOG
#SET SCALE X 11 -2
#SET ORDER X Y
348 318.469 ; 349 340.228 ; 350 359.976 ; 351 378.027
352 394.644 ; 353 410.024 ; 354 424.29 ; 355 437.623
356 450.054 ; 357 461.721 ; 358 472.676 ; 359 482.975
360 492.687 ; 361 501.844 ; 362 510.476 ; 363 518.671
364 526.387 ; 365 533.705 ; 366 540.639 ; 367 547.193
368 553.431 ; 369 559.294 ; 370 564.894 ; 371 570.212
372 575.212 ; 373 579.992 ; 374 584.521 ; 375 588.817
376 592.909 ; 377 596.727 ; 378 600.401 ; 379 603.871
380 607.132 ; 381 610.192 ; 382 613.135 ; 383 615.921
384 618.515 ; 385 621 ; 386 623.271 ; 387 625.468
388 627.498 ; 389 629.42 ; 390 631.231 ; 391 632.905
392 634.506 ; 393 635.926 ; 394 637.331 ; 395 638.586
396 639.724 ; 397 640.782 ; 398 641.767 ; 399 642.666
400 643.447 ; 400 643.447 ; 405 646.36 ; 410 647.513
415 647.288 ; 420 645.874 ; 425 643.416 ; 430 640.138
435 636.152 ; 440 631.56 ; 445 626.472 ; 450 620.873
455 614.999 ; 460 608.777 ; 465 602.331 ; 470 595.683
475 588.92 ; 480 581.994 ; 485 575.007 ; 490 567.973
495 560.854 ; 500 553.656 ; 505 546.585 ; 510 539.4
515 532.34 ; 520 525.264 ; 525 518.217 ; 530 511.281
535 504.37 ; 540 497.491 ; 545 490.748 ; 550 484.082
555 477.397 ; 560 470.856 ; 565 464.43 ; 570 458.036
575 451.783 ; 580 445.593 ; 585 439.5 ; 590 433.492
595 427.582 ; 600 421.739 ; 605 416.058 ; 610 410.41
615 404.897 ; 620 399.36 ; 625 394.032 ; 630 388.789
635 383.573 ; 640 378.473 ; 645 373.449 ; 650 368.52
655 363.662 ; 660 358.903 ; 665 354.251 ; 670 349.633
675 345.124 ; 680 340.627 ; 685 336.254 ; 690 331.988
695 327.76 ; 700 323.629 ; 705 319.531 ; 710 315.479
715 311.587 ; 720 307.661 ; 725 303.862 ; 730 300.137
735 296.461 ; 740 292.834 ; 745 289.28 ; 750 285.785
755 282.343 ; 760 278.959 ; 765 275.616 ; 770 272.366
775 269.152 ; 780 265.972 ; 785 262.862 ; 790 259.814
795 256.802 ; 800 253.857 ; 805 250.937 ; 810 248.08
815 245.255 ; 820 242.487 ; 825 239.782 ; 830 237.059
835 234.45 ; 840 231.82 ; 845 229.28 ; 850 226.755
855 224.268 ; 860 221.835 ; 865 219.434 ; 870 217.072
875 214.74 ; 880 212.443 ; 885 210.177 ; 890 207.968
895 205.792 ; 900 203.62 ; 905 201.488 ; 910 199.394
915 197.366 ; 920 195.308 ; 925 193.322 ; 930 191.334
935 189.418 ; 940 187.529 ; 945 185.619 ; 950 183.763
955 181.939 ; 960 180.144 ; 965 178.346 ; 970 176.614
975 174.881 ; 980 173.158 ; 985 171.501 ; 990 169.854
995 168.215 ; 1000 166.63 ; 1005 165.027 ; 1010 163.443
1015 161.925 ; 1020 160.4 ; 1025 158.917 ; 1030 157.422
1035 155.971 ; 1040 154.514 ; 1045 153.111 ; 1050 151.707
1055 150.315 ; 1060 148.96 ; 1065 147.614 ; 1070 146.277
1075 144.987 ; 1080 143.691 ; 1085 142.407 ; 1090 141.157
1095 139.936 ; 1100 138.679 ; 
 
#JOIN
