#TITLE TOP 'Cross sections of ttz'
#SET FONT DUPLEX
#SET LIMIT X FROM 0.0 TO 1000.0
#SET LIMIT Y FROM 0.1 TO 1.E8
#SET SCALE Y LOG
#SET SCALE X 11 -2
#SET ORDER X Y
439 0.0207616 ; 440 0.027856 ; 441 0.0358186 ; 442 0.0447425
443 0.054525 ; 444 0.0650685 ; 445 0.0765366 ; 446 0.0886445
447 0.101795 ; 448 0.114875 ; 449 0.129203 ; 450 0.14396
451 0.159521 ; 452 0.175692 ; 453 0.191795 ; 454 0.209035
455 0.226664 ; 456 0.2444 ; 457 0.263358 ; 458 0.282621
459 0.301809 ; 460 0.321132 ; 461 0.341903 ; 462 0.362217
463 0.383045 ; 464 0.403657 ; 465 0.426124 ; 466 0.447825
467 0.470086 ; 468 0.491776 ; 469 0.51493 ; 470 0.537154
471 0.560777 ; 472 0.58366 ; 473 0.608073 ; 474 0.631974
475 0.654866 ; 476 0.680465 ; 477 0.701833 ; 478 0.727814
479 0.750641 ; 480 0.776574 ; 481 0.800363 ; 482 0.824623
483 0.848812 ; 484 0.87517 ; 485 0.899682 ; 486 0.923609
487 0.948847 ; 488 0.974095 ; 489 1.00086 ; 490 1.02585
491 1.05166 ; 492 1.073 ; 493 1.10272 ; 494 1.12574
495 1.15387 ; 496 1.1789 ; 497 1.20216 ; 498 1.22777
499 1.25657 ; 500 1.27897 ; 501 1.29928 ; 502 1.33045
503 1.35614 ; 504 1.38179 ; 505 1.40636 ; 506 1.43157
507 1.45294 ; 508 1.48201 ; 509 1.50502 ; 510 1.52684
511 1.55701 ; 512 1.58438 ; 513 1.60143 ; 514 1.62892
515 1.65186 ; 516 1.67935 ; 517 1.69987 ; 518 1.72718
519 1.74584 ; 520 1.77498 ; 521 1.80131 ; 522 1.82647
523 1.84352 ; 524 1.87184 ; 525 1.89595 ; 526 1.92333
527 1.94294 ; 528 1.96828 ; 529 1.98962 ; 530 2.00833
531 2.03644 ; 532 2.05584 ; 533 2.07769 ; 534 2.10296
535 2.12297 ; 536 2.14333 ; 537 2.17104 ; 538 2.19514
539 2.2181 ; 540 2.23552 ; 541 2.26107 ; 542 2.28263
543 2.30035 ; 544 2.32382 ; 545 2.34752 ; 546 2.36945
547 2.38755 ; 548 2.41639 ; 549 2.43469 ; 550 2.44945
551 2.48245 ; 552 2.49508 ; 553 2.51398 ; 554 2.54415
555 2.55438 ; 556 2.57705 ; 557 2.59459 ; 558 2.61436
559 2.63883 ; 560 2.65566 ; 561 2.68189 ; 562 2.6886
563 2.71867 ; 564 2.73186 ; 565 2.7542 ; 566 2.7664
567 2.78537 ; 568 2.8082 ; 569 2.83016 ; 570 2.8452
571 2.86515 ; 572 2.89368 ; 573 2.90559 ; 574 2.93024
575 2.93817 ; 576 2.96278 ; 577 2.98501 ; 578 2.98784
579 3.01109 ; 580 3.03254 ; 581 3.04659 ; 582 3.06183
583 3.0767 ; 584 3.09854 ; 585 3.10352 ; 586 3.12224
587 3.14026 ; 588 3.16306 ; 589 3.17568 ; 590 3.19826
591 3.21576 ; 592 3.23083 ; 593 3.23979 ; 594 3.26273
595 3.28092 ; 596 3.29157 ; 597 3.30046 ; 598 3.31692
599 3.33487 ; 600 3.3555 ; 600 3.3555 ; 605 3.41714
610 3.50968 ; 615 3.57013 ; 620 3.62737 ; 625 3.7068
630 3.74747 ; 635 3.81193 ; 640 3.87509 ; 645 3.91852
650 3.96872 ; 655 4.01034 ; 660 4.06543 ; 665 4.12772
670 4.13782 ; 675 4.20031 ; 680 4.24355 ; 685 4.27669
690 4.31212 ; 695 4.3416 ; 700 4.38311 ; 705 4.41221
710 4.42958 ; 715 4.44824 ; 720 4.48312 ; 725 4.53113
730 4.53864 ; 735 4.5613 ; 740 4.58048 ; 745 4.60032
750 4.6191 ; 755 4.63733 ; 760 4.65823 ; 765 4.67061
770 4.69895 ; 775 4.68902 ; 780 4.72592 ; 785 4.73677
790 4.73189 ; 795 4.73395 ; 800 4.74963 ; 805 4.74737
810 4.75587 ; 815 4.7691 ; 820 4.78022 ; 825 4.78411
830 4.79499 ; 835 4.79919 ; 840 4.79343 ; 845 4.79331
850 4.79647 ; 855 4.79139 ; 860 4.79204 ; 865 4.80506
870 4.80475 ; 875 4.79209 ; 880 4.80028 ; 885 4.8095
890 4.80114 ; 895 4.78543 ; 900 4.79773 ; 905 4.79379
910 4.76938 ; 915 4.77698 ; 920 4.76671 ; 925 4.75809
930 4.76007 ; 935 4.77227 ; 940 4.7627 ; 945 4.75285
950 4.74662 ; 955 4.73987 ; 960 4.71262 ; 965 4.73444
970 4.72769 ; 975 4.71089 ; 980 4.70092 ; 985 4.68975
990 4.70105 ; 995 4.68589 ; 1000 4.68646 ; 1005 4.65628
1010 4.65233 ; 1015 4.63425 ; 1020 4.63082 ; 1025 4.62888
1030 4.62348 ; 1035 4.61707 ; 1040 4.58819 ; 1045 4.5789
1050 4.56544 ; 1055 4.56696 ; 1060 4.55497 ; 1065 4.5386
1070 4.53709 ; 1075 4.5105 ; 1080 4.50193 ; 1085 4.5099
1090 4.49211 ; 1095 4.49751 ; 1100 4.46181 ; 
 
#JOIN
