#TITLE TOP 'Cross sections of zh'
#SET FONT DUPLEX
#SET LIMIT X FROM 0.0 TO 1000.0
#SET LIMIT Y FROM 0.1 TO 1.E8
#SET SCALE Y LOG
#SET SCALE X 11 -2
#SET ORDER X Y
219 124.086 ; 220 141.454 ; 221 155.635 ; 222 167.524
223 177.656 ; 224 186.394 ; 225 193.983 ; 226 200.605
227 206.405 ; 228 211.488 ; 229 215.949 ; 230 219.866
231 223.298 ; 232 226.303 ; 233 228.905 ; 234 231.173
235 233.118 ; 236 234.788 ; 237 236.193 ; 238 237.356
239 238.312 ; 240 239.063 ; 241 239.645 ; 242 240.063
243 240.323 ; 244 240.449 ; 245 240.448 ; 246 240.326
247 240.091 ; 248 239.767 ; 249 239.346 ; 250 238.85
250 238.882 ; 251 238.241 ; 252 237.643 ; 253 236.788
254 236.17 ; 255 235.362 ; 256 234.341 ; 257 233.356
258 232.524 ; 259 231.59 ; 260 230.444 ; 261 229.393
262 228.211 ; 263 227.102 ; 264 226.019 ; 265 224.838
266 223.726 ; 267 222.418 ; 268 221 ; 269 219.967
270 218.682 ; 271 217.301 ; 272 216.126 ; 273 214.664
274 213.539 ; 275 212.055 ; 276 210.843 ; 277 209.553
278 208.258 ; 279 206.892 ; 280 205.501 ; 281 204.188
282 202.91 ; 283 201.388 ; 284 200.354 ; 285 198.893
286 197.622 ; 287 196.322 ; 288 195.202 ; 289 193.616
290 192.345 ; 291 191.064 ; 292 189.796 ; 293 188.505
294 187.25 ; 295 185.952 ; 296 184.792 ; 297 183.491
298 182.223 ; 299 180.938 ; 300 179.791 ; 300 179.652
310 167.756 ; 320 156.678 ; 330 146.241 ; 340 136.821
350 128.213 ; 360 120.225 ; 370 112.807 ; 380 106.14
390 100.053 ; 400 94.372 ; 410 89.1708 ; 420 84.4768
430 80.0119 ; 440 75.9035 ; 450 72.1426 ; 460 68.6346
470 65.3867 ; 480 62.3676 ; 490 59.5224 ; 500 56.8889
500 56.8889 ; 550 46.0102 ; 600 38.0376 ; 650 31.984
700 27.2924 ; 750 23.5817 ; 800 20.611 ; 850 18.1679
900 16.1462 ; 950 14.4511 ; 1000 13.0278 ; 1050 11.806
1100 10.7612 ; 
 
#JOIN
